Index FileName       ave_abs_press
74      q_pz01.00075    4.47741511490005
75      q_pz01.00076    4.477414903424175
76      q_pz01.00077    4.477414806014324
77      q_pz01.00078    4.477414968739648
78      q_pz01.00079    4.477415046429567
79      q_pz01.00080    4.477414769660619
80      q_pz01.00081    3.4985875851044606
81      q_pz01.00082    4.477414617698052
82      q_pz01.00083    4.477414787502351
83      q_pz01.00084    4.477414935225962
84      q_pz01.00085    3.4985881360660604
85      q_pz01.00086    3.6513028099564444
86      q_pz01.00087    3.4985879837714844
87      q_pz01.00088    4.477414315818998
88      q_pz01.00089    4.477414615320923
89      q_pz01.00090    4.477414803781023
90      q_pz01.00091    4.477414959282181
91      q_pz01.00092    4.477415146756907
92      q_pz01.00093    4.0645215370983845
93      q_pz01.00094    3.4985876158303735
94      q_pz01.00095    4.47741470113587
95      q_pz01.00096    3.601554647852851
96      q_pz01.00097    3.4985878786905746
97      q_pz01.00098    4.362917089220927
98      q_pz01.00099    4.064521713361243
99      q_pz01.00100    4.064521761566745
100     q_pz01.00101    4.477414784877859
101     q_pz01.00102    4.477415124741153
102     q_pz01.00103    4.477414925479764
103     q_pz01.00104    4.477414752685123
104     q_pz01.00105    4.477414735350579
105     q_pz01.00106    3.519945039589924
106     q_pz01.00107    4.477414924528125
107     q_pz01.00108    4.064521342724387
108     q_pz01.00109    4.064522132095808
109     q_pz01.00110    4.080984146339211
110     q_pz01.00111    4.382490953177436
111     q_pz01.00112    4.382491108947021
112     q_pz01.00113    4.382490446001837
113     q_pz01.00114    4.3824911726399005
114     q_pz01.00115    4.38249098530879
115     q_pz01.00116    4.38249096286964
116     q_pz01.00117    4.382490986808345
117     q_pz01.00118    4.3824909265570575
118     q_pz01.00119    4.409858572134778
119     q_pz01.00120    4.409858696058071
120     q_pz01.00121    4.409858583834895
121     q_pz01.00122    4.409858766965424
122     q_pz01.00123    4.409858688180419
123     q_pz01.00124    4.38728376068829
124     q_pz01.00125    4.3872835371032
125     q_pz01.00126    4.387283721733716
126     q_pz01.00127    4.387283856314393
127     q_pz01.00128    4.387283700737672
128     q_pz01.00129    4.387283582057643
129     q_pz01.00130    4.3872837063928625
130     q_pz01.00131    4.387283695586553
131     q_pz01.00132    3.5446217816292127
132     q_pz01.00133    3.544639328429994
133     q_pz01.00134    4.157658529986053
134     q_pz01.00135    3.943753836315413
135     q_pz01.00136    3.943754213003014
136     q_pz01.00137    3.54462230945117
137     q_pz01.00138    3.544621591980472
138     q_pz01.00139    3.5446218706401833
139     q_pz01.00140    3.5446217533723288
140     q_pz01.00141    3.3982142012873253
141     q_pz01.00142    4.146898991580632
142     q_pz01.00143    4.146899193509691
143     q_pz01.00144    3.995498633055223
144     q_pz01.00145    3.9951336369283412
145     q_pz01.00146    4.131195763224147
146     q_pz01.00147    4.131195796711004
147     q_pz01.00148    4.095036933328679
148     q_pz01.00149    4.131195971508355
149     q_pz01.00150    4.131195999713306
150     q_pz01.00151    3.691845435621917
151     q_pz01.00152    3.9032885330834555
152     q_pz01.00153    4.131195819322098
153     q_pz01.00154    4.028714965991287
154     q_pz01.00155    4.062717505679098
155     q_pz01.00156    4.016684410612192
156     q_pz01.00157    4.1251915224627895
157     q_pz01.00158    4.12519170152994
158     q_pz01.00159    4.125191632220434
159     q_pz01.00160    3.9449845380025357
160     q_pz01.00161    4.1251915831605706
161     q_pz01.00162    4.2058580869757
162     q_pz01.00163    3.8937473443695576
163     q_pz01.00164    4.2047551065637805
164     q_pz01.00165    4.1890567939686365
165     q_pz01.00166    4.18905687321687
166     q_pz01.00167    4.204755263199764
167     q_pz01.00168    4.205784126336581
168     q_pz01.00169    4.131195840779161
169     q_pz01.00170    4.131195744841471
170     q_pz01.00171    4.131195804729348
171     q_pz01.00172    4.1311956670061125
172     q_pz01.00173    4.131195705521909
173     q_pz01.00174    4.146898966150287
174     q_pz01.00175    4.146899102691577
175     q_pz01.00176    4.146899000021609
176     q_pz01.00177    4.146899082306054
177     q_pz01.00178    4.146898985373797
178     q_pz01.00179    4.146899127634969
179     q_pz01.00180    3.9954985488756307
180     q_pz01.00181    4.146899075465434
181     q_pz01.00182    4.146899013451381
182     q_pz01.00183    4.146898946542714
183     q_pz01.00184    4.146898906278902
184     q_pz01.00185    4.208484401724872
185     q_pz01.00186    4.2799085203659635
186     q_pz01.00187    4.1424213790156275
187     q_pz01.00188    4.222516084661191
188     q_pz01.00189    3.6562423584589716
189     q_pz01.00190    3.5357370271119435
190     q_pz01.00191    4.222516459257038
191     q_pz01.00192    3.5015797730992775
192     q_pz01.00193    3.92067685390583
193     q_pz01.00194    4.052518195252686
194     q_pz01.00195    4.02227594440664
195     q_pz01.00196    4.051162999021481
196     q_pz01.00197    4.205257325222851
197     q_pz01.00198    4.037502867843245
198     q_pz01.00199    4.0071796008813685

